,File_path,Emotion
0,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_DFA_ANG_XX.wav,angry
1,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_DFA_DIS_XX.wav,disgust
2,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_DFA_FEA_XX.wav,fear
3,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_DFA_HAP_XX.wav,happy
4,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_DFA_NEU_XX.wav,neutral
5,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_DFA_SAD_XX.wav,sad
6,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_ANG_HI.wav,angry
7,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_ANG_LO.wav,angry
8,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_ANG_MD.wav,angry
9,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_DIS_HI.wav,disgust
10,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_DIS_LO.wav,disgust
11,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_DIS_MD.wav,disgust
12,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_FEA_HI.wav,fear
13,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_FEA_LO.wav,fear
14,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_FEA_MD.wav,fear
15,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_HAP_HI.wav,happy
16,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_HAP_LO.wav,happy
17,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_HAP_MD.wav,happy
18,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_NEU_XX.wav,neutral
19,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_SAD_HI.wav,sad
20,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_SAD_LO.wav,sad
21,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IEO_SAD_MD.wav,sad
22,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IOM_ANG_XX.wav,angry
23,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IOM_DIS_XX.wav,disgust
24,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IOM_FEA_XX.wav,fear
25,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IOM_HAP_XX.wav,happy
26,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IOM_NEU_XX.wav,neutral
27,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IOM_SAD_XX.wav,sad
28,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITH_ANG_XX.wav,angry
29,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITH_DIS_XX.wav,disgust
30,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITH_FEA_XX.wav,fear
31,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITH_HAP_XX.wav,happy
32,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITH_NEU_XX.wav,neutral
33,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITH_SAD_XX.wav,sad
34,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITS_ANG_XX.wav,angry
35,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITS_DIS_XX.wav,disgust
36,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITS_FEA_XX.wav,fear
37,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITS_HAP_XX.wav,happy
38,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITS_NEU_XX.wav,neutral
39,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_ITS_SAD_XX.wav,sad
40,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWL_ANG_XX.wav,angry
41,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWL_DIS_XX.wav,disgust
42,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWL_FEA_XX.wav,fear
43,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWL_HAP_XX.wav,happy
44,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWL_NEU_XX.wav,neutral
45,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWL_SAD_XX.wav,sad
46,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWW_ANG_XX.wav,angry
47,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWW_DIS_XX.wav,disgust
48,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWW_FEA_XX.wav,fear
49,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWW_HAP_XX.wav,happy
50,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWW_NEU_XX.wav,neutral
